,minutes,simple_radius,flash_area_radius
0,10,10,0
1,10,20,0
2,10,30,0
3,10,40,0
4,10,50,0
5,20,10,0
6,20,20,0
7,20,30,0
8,20,40,0
9,20,50,0
10,30,10,0
11,30,20,0
12,30,30,0
13,30,40,0
14,30,50,0
15,40,10,0
16,40,20,0
17,40,30,0
18,40,40,0
19,40,50,0
20,50,10,0
21,50,20,0
22,50,30,0
23,50,40,0
24,50,50,0
25,10,0,10
26,10,0,15
27,10,0,20
28,10,0,25
29,10,0,30
30,20,0,10
31,20,0,15
32,20,0,20
33,20,0,25
34,20,0,30
35,30,0,10
36,30,0,15
37,30,0,20
38,30,0,25
39,30,0,30
40,40,0,10
41,40,0,15
42,40,0,20
43,40,0,25
44,40,0,30
45,50,0,10
46,50,0,15
47,50,0,20
48,50,0,25
49,50,0,30
50,10,0,999
51,10,0,0
52,10,0,5
